Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PruebasRegresion,Firefox 68.0,,,2019-08-14 08:45:38,2019-08-14 08:46:29,"51,458s",PASSED
,,,,,,,
Test Cases/ValoracionGlobal,Firefox 68.0,,,2019-08-14 08:45:38,2019-08-14 08:45:59,"20,850s",PASSED
"openBrowser("""")",Firefox 68.0,Abrir el navegador,,2019-08-14 08:45:38,2019-08-14 08:45:44,"5,306s",PASSED
maximizeWindow(),Firefox 68.0,Maximizar el navegador,,2019-08-14 08:45:44,2019-08-14 08:45:44,"0,028s",PASSED
navigateToUrl(url),Firefox 68.0,Navegar a la url del sistema,,2019-08-14 08:45:44,2019-08-14 08:45:46,"2,060s",PASSED
"setText(findTestObject(""Login/input_Usuario""), user)",Firefox 68.0,Informar el usuario,,2019-08-14 08:45:46,2019-08-14 08:45:46,"0,158s",PASSED
"setText(findTestObject(""Login/input_Pass""), pass)",Firefox 68.0,Informar la contraseña,,2019-08-14 08:45:46,2019-08-14 08:45:46,"0,062s",PASSED
"click(findTestObject(""Login/input_Acceder""))",Firefox 68.0,Pulsar sobre el botón Acceder,,2019-08-14 08:45:46,2019-08-14 08:45:46,"0,289s",PASSED
waitForPageLoad(20),Firefox 68.0,Esperar a que cargue la pantalla,,2019-08-14 08:45:46,2019-08-14 08:45:46,"0,082s",PASSED
"click(findTestObject(""Home/span_Equipo""))",Firefox 68.0,Hacer click el seleccionable equipo,,2019-08-14 08:45:46,2019-08-14 08:45:47,"0,804s",PASSED
"waitForElementPresent(findTestObject(""Home/div_SelectorEquipo""), 5)",Firefox 68.0,Esperar que se muestren las opciones de equipo,,2019-08-14 08:45:47,2019-08-14 08:45:47,"0,032s",PASSED
"click(findTestObject(""Home/div_SelectorEquipo""))",Firefox 68.0,Seleccionar la opción para el equipo,,2019-08-14 08:45:47,2019-08-14 08:45:48,"0,275s",PASSED
"waitForElementClickable(findTestObject(""Home/a_EvaFinalizadas""), 5)",Firefox 68.0,Esperar que el botón Evaluaciones Finalizadas esté habilitado,,2019-08-14 08:45:48,2019-08-14 08:45:48,"0,068s",PASSED
"click(findTestObject(""Home/a_EvaFinalizadas""))",Firefox 68.0,Hacer click sobre el botón Evaluaciones Finalizadas,,2019-08-14 08:45:48,2019-08-14 08:45:48,"0,600s",PASSED
waitForPageLoad(20),Firefox 68.0,Esperar a que cargue la pantalla,,2019-08-14 08:45:48,2019-08-14 08:45:48,"0,013s",PASSED
delay(5),Firefox 68.0,,,2019-08-14 08:45:48,2019-08-14 08:45:53,"5,045s",PASSED
"columnaPuntuacion = getText(findTestObject(""EvaluacionesFinalizadas/tbody_ValorColumna"", [""columna"":colPuntuacion]))",Firefox 68.0,Obtener el texto de la columna puntuación,,2019-08-14 08:45:53,2019-08-14 08:45:53,"0,103s",PASSED
"click(findTestObject(""EvaluacionesFinalizadas/button_ColResultados"", [""columna"":colResultados]))",Firefox 68.0,,,2019-08-14 08:45:53,2019-08-14 08:45:54,"0,366s",PASSED
waitForPageLoad(20),Firefox 68.0,,,2019-08-14 08:45:54,2019-08-14 08:45:54,"0,063s",PASSED
delay(5),Firefox 68.0,,,2019-08-14 08:45:54,2019-08-14 08:45:59,"5,009s",PASSED
"columnaValoracion = getText(findTestObject(""EvaluacionesResultados/tspan_ValoracionGlobal""))",Firefox 68.0,,,2019-08-14 08:45:59,2019-08-14 08:45:59,"0,061s",PASSED
"columnaValoracion = columnaValoracion + ""%""",Firefox 68.0,,,2019-08-14 08:45:59,2019-08-14 08:45:59,"0,001s",PASSED
"verifyEqual(columnaPuntuacion, columnaValoracion)",Firefox 68.0,Se verifican que los datos de la tabla y los resultados son los mismos,,2019-08-14 08:45:59,2019-08-14 08:45:59,"0,007s",PASSED
,,,,,,,
Test Cases/NuevaEvaluacion,Firefox 68.0,,,2019-08-14 08:45:59,2019-08-14 08:46:27,"27,703s",PASSED
"openBrowser("""")",Firefox 68.0,Abrir el navegador,,2019-08-14 08:45:59,2019-08-14 08:46:06,"6,633s",PASSED
maximizeWindow(),Firefox 68.0,Maximizar el navegador,,2019-08-14 08:46:06,2019-08-14 08:46:06,"0,011s",PASSED
navigateToUrl(url),Firefox 68.0,Navegar a la url del sistema,,2019-08-14 08:46:06,2019-08-14 08:46:08,"1,643s",PASSED
"setText(findTestObject(""Login/input_Usuario""), user)",Firefox 68.0,Informar el usuario,,2019-08-14 08:46:08,2019-08-14 08:46:08,"0,143s",PASSED
"setText(findTestObject(""Login/input_Pass""), pass)",Firefox 68.0,Informar la contraseña,,2019-08-14 08:46:08,2019-08-14 08:46:08,"0,069s",PASSED
